average_price,total_volume,small_sold,large_sold,x_large_sold,total_bags,small_bags,large_bags,x_large_bags,type,year,region,month,ratio_small_sold,ratio_large_sold,ratio_x_large_sold,ratio_small_bags,ratio_large_bags,ratio_x_large_bags
1.33,64236.62,1036.74,54454.85,48.16,8696.87,8603.62,93.25,0,conventional,2015,Albany,December,0.01613939214111826,0.847722840958942,7.497281145863527e-4,0.9892777516508813,0.010722248349118705,0
1.35,54876.98,674.28,44638.81,58.33,9505.56,9408.07,97.49,0,conventional,2015,Albany,December,0.012287119298474513,0.8134341576376833,0.0010629229232366649,0.9897438972559218,0.010256102744078203,0
0.93,118220.22,794.7,109149.67,130.5,8145.35,8042.21,103.14,0,conventional,2015,Albany,December,0.006722200313956445,0.9232741234959637,0.0011038720787357695,0.9873375606941384,0.012662439305861625,0
1.08,78992.15,1132,71976.41,72.58,5811.16,5677.4,133.76,0,conventional,2015,Albany,December,0.014330537907880721,0.911184339203326,9.188254782279e-4,0.976982220417266,0.023017779582733912,0
1.28,51039.6,941.48,43838.39,75.78,6183.95,5986.26,197.69,0,conventional,2015,Albany,November,0.01844606932656212,0.8589093566564001,0.001484729504149719,0.9680317596358315,0.03196824036416853,0
1.26,55979.78,1184.27,48067.99,43.61,6683.91,6556.47,127.44,0,conventional,2015,Albany,November,0.021155317152014533,0.8586670044076629,7.79031285939316e-4,0.9809333159782224,0.019066684021777674,0
0.99,83453.76,1368.92,73672.72,93.26,8318.86,8196.81,122.05,0,conventional,2015,Albany,November,0.01640333521221812,0.8827968925546316,0.001117505071071693,0.9853285185710541,0.014671481428945792,0
0.98,109428.33,703.75,101815.36,80,6829.22,6266.85,562.37,0,conventional,2015,Albany,November,0.006431149959064531,0.9304296245771091,7.310721090233214e-4,0.9176523819704154,0.08234761802958464,0
1.02,99811.42,1022.15,87315.57,85.34,11388.36,11104.53,283.83,0,conventional,2015,Albany,November,0.010240812123502502,0.8748054080384791,8.550123823506369e-4,0.9750771840721579,0.02492281592784211,0
1.07,74338.76,842.4,64757.44,113,8625.92,8061.47,564.45,0,conventional,2015,Albany,October,0.011331908145898587,0.8711127277344956,0.001520068400387631,0.9345635016322896,0.06543649836771034,0
1.12,84843.44,924.86,75595.85,117.07,8205.66,7877.86,327.8,0,conventional,2015,Albany,October,0.010900783843747966,0.8910040658417434,0.0013798356125117037,0.9600519641320747,0.039948035867925315,0
1.28,64489.17,1582.03,52677.92,105.32,10123.9,9866.27,257.63,0,conventional,2015,Albany,October,0.02453171594548356,0.8168490926460985,0.0016331424330627918,0.9745522970396785,0.025447702960321616,0
1.31,61007.1,2268.32,49880.67,101.36,8756.75,8379.98,376.77,0,conventional,2015,Albany,October,0.03718124611725521,0.8176207359471275,0.0016614459628469472,0.9569737630970394,0.04302623690296057,0
0.99,106803.39,1204.88,99409.21,154.84,6034.46,5888.87,145.59,0,conventional,2015,Albany,September,0.011281289854189086,0.9307683023918998,0.0014497667162062927,0.97587356615173515,0.024126433848264798,0
1.33,69759.01,1028.03,59313.12,150.5,9267.36,8489.1,778.26,0,conventional,2015,Albany,September,0.014736877716584568,0.8502574792847548,0.0021574274061515494,0.9160213912052623,0.08397860879473765,0
1.28,76111.27,985.73,65696.86,142,9286.68,8665.19,621.49,0,conventional,2015,Albany,September,0.012951170043542829,0.8631686214144108,0.001865689535859801,0.9330772676564715,0.06692273234352858,0
1.11,99172.96,879.45,90062.62,240.79,7990.1,7762.87,227.23,0,conventional,2015,Albany,September,0.008867840588805659,0.9081368550459721,0.0024279803688424745,0.9715610568077996,0.028438943192200344,0
1.07,105693.84,689.01,94362.67,335.43,10306.73,10218.93,87.8,0,conventional,2015,Albany,August,0.006518922957099486,0.8927925222510602,0.0031736002779348352,0.9914812942611285,0.008518705738871592,0
1.34,79992.09,733.16,67933.79,444.78,10880.36,10745.79,134.57,0,conventional,2015,Albany,August,0.009165406229540946,0.8492563452211337,0.005560299774640218,0.9876318430640163,0.012368156935983735,0
1.33,80043.78,539.65,68666.01,394.9,10443.22,10297.68,145.54,0,conventional,2015,Albany,August,0.006741935475810862,0.857855663488156,0.004933550114699731,0.9860636853384301,0.0139363146615699,0
